KIC,Kp,T_eff,T_eff err,Power,Power err,nu_max,nu_max err,logg,logg err
1025494,11.822,6122,172,32.197742,5.122176,810.706837,91.820358,3.869501,0.049188
1026084,12.136,5072,166,21357.213652,3217.252055,42.914777,4.630563,2.552387,0.046861
1026255,12.509,7050,214,151.110989,17.569054,314.983044,31.883119,3.489572,0.04396
1026475,11.872,6611,189,18.77918,6.184739,951.273875,189.841677,3.955629,0.08667
1026669,12.304,6293,193,21.240338,9.146196,957.551309,239.02615,3.947781,0.10841
1026911,12.422,6194,80,36.589232,12.892622,750.483349,141.07793,3.838517,0.08164
1027030,12.344,5825,80,39.994039,10.717559,776.31772,114.093767,3.839878,0.063827
1027337,12.114,4671,80,10942.565006,2152.935845,64.588561,7.256245,2.712051,0.048791
1162617,12.658,6492,80,44.484901,15.585154,641.291625,119.923976,3.780435,0.081215
1163211,12.797,6053,80,83.64226,19.095824,517.134405,66.02939,3.671779,0.055452
1163333,13.211,6204,80,33.980671,30.271014,776.330517,349.12488,3.853573,0.195307
1163453,11.978,5034,159,39984.202846,8384.385933,31.891801,4.309921,2.421826,0.058691
1163621,11.791,4909,80,13088.504702,8411.135844,56.332569,18.537569,2.663446,0.142915
1164109,10.875,6605,180,18.150264,1.668279,968.368388,79.679545,3.963167,0.035735
1292493,12.563,6398,203,28.285312,14.161598,815.021826,232.906529,3.881382,0.124107
1292498,11.926,6296,194,24.134986,5.42222,899.332846,134.657542,3.920643,0.065027
1294122,11.938,4795,80,7310.332502,583.448394,76.569135,4.250125,2.791638,0.024106
1294382,12.437,6756,80,49.064584,11.817538,578.651756,77.414851,3.744452,0.058102
1294385,10.652,4824,80,3205.303409,256.899792,113.622758,6.325467,2.964359,0.024178
1294567,13.052,6098,187,51.344619,25.034662,649.429039,179.283055,3.772316,0.119892
1295427,12.185,5833,80,26.006071,7.926421,955.362942,157.501974,3.930305,0.071598
1295693,12.975,5557,163,112.109119,23.465052,497.47709,67.552198,3.636384,0.058973
1295737,12.016,6557,191,25.589455,6.788376,827.725208,139.758528,3.893429,0.073329
1429505,11.959,4685,80,24513.40547,5845.316539,43.51367,5.770648,2.541171,0.057595
1430163,9.58,6590,80,6.396022,0.497972,1612.776185,87.987885,4.184207,0.023694
1430239,10.522,6512,193,70.334666,3.404526,511.135167,32.635796,3.682583,0.02773
1430985,13.051,4964,80,2419.043353,118.895927,126.523626,5.137324,3.017278,0.017634
1432469,12.714,5522,80,22.289634,16.342815,1098.851478,409.975859,3.979178,0.162033
1433593,11.522,4956,100,8313.438672,1245.101752,69.550814,6.516179,2.757058,0.040689
1433622,13.259,6372,201,110.552973,32.174629,422.450321,77.499975,3.595104,0.079673
1433628,12.166,6416,188,25.599969,7.684728,852.300879,157.833882,3.901415,0.080425
1433730,10.892,4767,100,23032.77522,2982.63066,44.089693,3.696248,2.55065,0.036409
1433803,10.194,4760,80,1832.578653,130.012722,151.109254,7.736416,3.085285,0.022235
1433894,12.789,5716,80,43.308644,18.426616,764.050083,170.779806,3.828858,0.097073
1434259,12.151,6483,177,40.331939,7.817586,673.845985,88.403886,3.801639,0.056976
1434522,12.511,5776,80,32.392634,13.375229,868.928122,188.916291,3.886988,0.094421
1435467,8.883,6326,80,8.948103,0.2999,1447.604515,47.777252,4.128405,0.014334
1435930,12.231,6146,174,22.868665,12.283615,952.593021,283.333551,3.940394,0.129174
1569842,11.086,4808,80,2837.634072,184.461838,120.958361,5.84355,2.990808,0.020981
1569969,12.321,5134,80,118.676193,19.405572,528.611706,50.84875,3.645555,0.041776
1569999,11.914,6574,192,17.95972,11.699224,979.673048,349.488855,3.967186,0.15493
1570026,12.452,5924,178,66.291021,12.624256,594.82085,77.179268,3.727884,0.056351
1570253,12.647,6206,173,22.592262,15.155104,946.303184,342.749002,3.939627,0.157301
1570366,13.296,4937,153,586.071158,54.563998,253.446275,19.570625,3.317808,0.033535
1570554,12.811,5925,80,30.126683,18.835836,872.515141,279.736491,3.894307,0.139239
1570713,11.477,6736,198,40.400506,4.735903,638.625733,62.805374,3.786638,0.042711
1570918,12.8,6004,80,30.15113,18.274196,857.894282,267.07006,3.889844,0.1352
1571088,10.4,5965,80,65.64067,2.71693,592.580374,21.826109,3.727743,0.015996
1572175,11.855,4789,100,14737.695925,3705.615014,54.525073,7.802885,2.643909,0.06215
1572317,12.076,5333,172,299.178885,26.800193,323.515091,25.71155,3.440571,0.034516
1573398,12.862,6370,209,34.132741,19.541016,748.242309,240.885376,3.843302,0.139815
1574033,13.044,6414,80,99.493563,26.174966,440.772488,63.730272,3.614969,0.062794
1574646,12.001,6081,80,18.200497,6.660131,1078.950989,209.940883,3.99218,0.084504
1575422,12.837,6008,80,28.800243,19.194493,876.490199,298.584058,3.899302,0.147946
1575580,11.817,5833,80,15.729022,5.194549,1219.862813,216.204382,4.036447,0.076973
1575873,11.283,6741,190,24.214388,3.428436,818.183199,88.785172,3.894403,0.047127
1575886,11.396,5016,80,2090.9985,265.332647,134.343368,10.531368,3.045585,0.034045
1576249,11.502,6190,176,15.433839,3.295067,1142.66311,160.592794,4.020954,0.061037
1576469,10.357,5217,100,3269.617346,277.354022,103.6605,6.439769,2.941514,0.02698
1576558,12.475,6761,80,28.129015,12.133772,757.534706,171.492012,3.861598,0.098316
1576789,12.819,5334,162,47.573968,25.303829,790.593796,231.148627,3.82867,0.126976
1717618,11.702,4876,80,2115.922694,122.694048,137.536404,6.175186,3.04964,0.019499
1718550,13.316,5542,153,56.603349,34.512,695.658998,228.401924,3.78142,0.14259
1718943,12.034,5136,150,170.970638,26.917702,442.472713,47.726893,3.568389,0.046845
1718958,12.801,5931,119,42.616573,20.632162,736.231786,191.553324,3.820769,0.112995
1719026,12.202,6340,80,25.000975,9.061317,875.964744,168.956968,3.910722,0.083767
1719472,11.323,7572,80,6.302299,2.296222,1323.090588,256.426248,4.128385,0.08417
1719974,12.05,6103,80,14.891397,7.743918,1184.035482,319.071817,4.033327,0.117033
1720425,10.78,4758,100,81328.54062,817915.807411,23.924479,117.449461,2.284745,2.132028
1720810,12.73,5238,80,109.218274,17.490532,538.557214,50.922202,3.658005,0.041064
1721110,12.654,6302,80,53.474035,16.163215,610.160361,99.841742,3.752374,0.071064
1722776,13.197,6095,182,55.632095,29.89837,624.991586,187.027308,3.755551,0.129962
1722916,12.048,6809,80,30.461041,6.8851,721.49672,91.325618,3.841966,0.054972
1723047,12.37,4977,80,968.177897,85.617374,196.921408,11.755591,3.209967,0.025926
1723078,12.668,6125,186,144.070677,17.779025,391.099609,38.657013,3.553031,0.042926
1723752,12.329,4963,80,894.793145,38.860748,205.211783,7.761798,3.227265,0.016426
1723843,12.229,4908,80,2065.955752,92.447677,138.216185,5.316363,3.053202,0.016705
1723908,13.274,6034,174,47.849805,32.703955,681.113224,251.031816,3.790712,0.160064
1724041,11.495,6709,187,12.807559,3.875668,1122.54039,208.965772,4.030721,0.080846
1724096,11.954,6045,167,19.759452,6.04579,1044.527348,191.785533,3.976808,0.079741
1724355,11.585,6132,80,13.723259,4.52084,1224.554129,216.545713,4.048969,0.076799
1724529,12.712,6103,171,60.458167,16.979202,599.221148,103.205137,3.737549,0.074799
1724872,12.979,4871,80,403.367657,32.105013,308.132412,17.070709,3.399737,0.02406
1725190,9.217,5054,80,2265.999205,183.840505,128.174575,7.196735,3.02681,0.024385
1725815,10.829,6330,80,16.39682,1.766208,1077.553968,74.427282,4.000331,0.029997
1726211,10.93,4995,100,32749.238719,8017.141948,35.428514,4.955807,2.465811,0.06075
1849159,10.802,6179,164,9.159812,1.3674,1475.881718,157.659136,4.131701,0.046393
1849581,12.056,6435,176,21.241048,17.099188,929.545802,397.894584,3.939735,0.185901
1849587,11.542,5534,150,15.208302,2.845035,1319.918472,161.381601,4.059257,0.0531
1849679,12.846,4945,147,45175.431364,43004.604906,30.618674,15.107736,2.40026,0.214288
1849885,12.953,5751,162,27.341881,21.973755,948.494834,402.613621,3.924097,0.184348
1864124,11.622,6334,174,21.191542,6.961487,950.446071,186.311199,3.945957,0.085133
1864183,11.336,4632,100,21619.329155,2396.236698,46.768645,3.49671,2.570029,0.032471
1864855,11.548,5083,100,2339.598994,144.662253,125.436309,6.390528,3.018674,0.022126
1864959,8.807,4998,147,23748.858743,2966.488224,41.391833,3.784283,2.533503,0.039706
1865136,11.883,6252,168,28.240079,6.111294,840.91912,117.968314,3.889954,0.060925
1865262,12.473,4772,80,33402.446664,9139.125509,36.763564,5.503624,2.471958,0.065015
1865325,12.535,5242,149,139.117785,14.995469,478.398774,39.956734,3.606729,0.036273
1865519,13.004,6342,202,77.261269,24.293656,505.979498,98.684701,3.672436,0.084703
1865747,10.764,4752,80,13553.451923,931.955993,57.231634,2.86937,2.663265,0.021774
1866174,11.55,4756,80,259.210586,18.509023,391.308222,20.121517,3.49833,0.022332
1866778,12.467,5972,80,80.049093,12.330733,537.306057,49.209949,3.685472,0.039775
1867489,12.611,5682,165,51.754087,15.263944,705.667654,125.486899,3.793041,0.077229
1867684,13.159,5621,167,48.608231,28.335991,736.839276,234.489891,3.80947,0.138209
1868303,12.189,4798,80,41808.941993,3686.293529,32.78476,1.952981,2.423392,0.025871
1868918,11.564,6054,80,12.01393,2.703956,1327.810251,167.451137,4.081348,0.054769
1869151,12.381,6496,188,29.202943,11.095724,786.208572,176.077191,3.869051,0.097263
1869183,12.503,6381,80,31.415621,13.074584,777.239361,170.217846,3.860189,0.095112
1869352,13.002,6654,80,109.376863,45.133052,400.356087,86.989778,3.581178,0.094364
1869817,12.334,5766,80,22.407496,10.152249,1041.565708,246.783639,3.965314,0.1029
1870196,12.654,4894,80,1216.535004,71.08254,179.316992,8.089795,3.165644,0.019593
1870225,11.732,6345,173,32.350992,5.07655,772.018731,86.78783,3.856034,0.048822
1870433,12.688,5008,80,544.997818,35.953609,258.691255,12.618784,3.329804,0.021185
1871056,13.038,6205,124,56.18902,24.853459,607.842034,146.429307,3.747352,0.104622
1871438,12.95,5358,80,30.243585,21.872104,980.395999,361.013346,3.923093,0.159921
1872078,12.435,6633,193,53.795617,13.042617,567.73467,89.796503,3.732191,0.068691
1872084,12.927,5706,80,39.399535,24.404981,801.674822,254.765165,3.849354,0.138015
1872166,11.627,4975,80,4840.338513,424.083742,90.106559,5.343298,2.870343,0.025754
1872375,11.232,5044,80,2204.32044,136.794267,130.177126,6.102371,3.033113,0.020359
1872749,12.797,5061,148,441.656909,25.090263,283.370705,16.586635,3.371663,0.025421
1872842,11.495,4768,138,22890.806752,3527.77034,44.213154,4.586654,2.55191,0.045054
1995248,13.052,6179,80,66.64663,25.383118,562.496334,113.531767,3.712769,0.087656
1995668,12.381,4908,139,788.746916,82.631207,220.709737,17.648224,3.256464,0.034727
1995859,10.861,4899,80,15751.564983,2191.800181,51.590677,4.351583,2.624815,0.036632
1996088,13.165,5201,150,129.822317,29.030444,499.008748,69.876058,3.623342,0.060814
1996721,11.878,4994,138,14.096651,10.03585,1533.085137,574.712828,4.101981,0.162805
2010835,11.329,5962,80,18.476426,5.179414,1098.05166,167.967974,3.995509,0.066434
2011582,12.261,4684,80,47461.983128,14714.719702,31.567852,5.284714,2.401744,0.072704
2011824,12.553,6209,80,29.758152,17.153108,827.185148,245.581044,3.881304,0.128937
2011891,11.809,4714,80,4626.927122,423.633151,97.264981,5.954237,2.891842,0.026586
2011905,12.887,6393,197,180.868179,24.503698,331.09637,35.430086,3.489997,0.046473
2012093,12.866,6255,179,23.082895,19.927296,926.934645,423.6184,3.932353,0.198477
2012640,13.291,4910,80,218.659467,36.476438,411.583832,40.251967,3.527189,0.042473
2012826,11.843,6113,80,11.410403,4.403048,1344.815707,274.71232,4.08898,0.088716
2013402,12.789,6118,80,27.594341,19.794019,874.571803,319.547413,3.902291,0.158681
2013502,11.91,4930,100,8735.376478,4283.310473,68.266956,17.696686,2.747824,0.112581
2013883,11.215,6221,80,22.419459,4.044306,946.869444,98.849027,3.940411,0.045338
2014003,11.823,6156,169,18.605443,5.357943,1050.876065,184.200011,3.983391,0.076124
2014282,12.948,5809,164,43.962288,22.273588,743.911744,208.687406,3.820762,0.121831
2014377,9.923,4734,137,23739.475451,1921.414089,43.747356,2.973199,2.545756,0.029516
